sor_id;navn;type;sygehus;shak;vej;postnr;by;region
487801000016002;OUH Onkogyn Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487811000016000;OUH Subakut Gyn. Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487821000016009;OUH Uro Gyn. Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 15;5700;Svendborg;Syddanmark
487841000016004;OUH Jordemoder Amb. (Rudkøbing);Afsnit;Odense Universitetshospital - Svendborg;;Havnegade 118;5900;Rudkøbing;Syddanmark
487851000016001;OUH Jordemoder Amb. (Fåborg);Afsnit;Odense Universitetshospital - Svendborg;;Mellemgade 19;5600;Faaborg;Syddanmark
487861000016003;OUH Jordemoder Amb. (Ringe);Afsnit;Odense Universitetshospital - Svendborg;;Floravej 11;5750;Ringe;Syddanmark
487871000016008;OUH Jordemoder Amb. (Nyborg);Afsnit;Odense Universitetshospital - Svendborg;;Ringvej 3A;5800;Nyborg;Syddanmark
487881000016005;OUH Jordemoder Amb. (Ærø);Afsnit;Odense Universitetshospital - Svendborg;;Sygehusvejen 18;5970;Ærøskøbing;Syddanmark
487891000016007;OUH Jordemoder Amb. (Nr. Lyndelse);Afsnit;Odense Universitetshospital - Svendborg;;Carl Nielsensvej 1;5792;Årslev;Syddanmark
487911000016005;OUH Jordemoder Amb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Valdemarsgade 49;5700;Svendborg;Syddanmark
487931000016004;OUH Barselsklinikken (Odense);Afsnit;Odense Universitetshospital - Svendborg;;Kløvervænget 23;5000;Odense C;Syddanmark
487941000016006;OUH Barselsamb. (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
487951000016009;OUH Familieambulatorie (Odense);Afsnit;Odense Universitetshospital - Svendborg;;J.B. Winsløws Vej 4;5000;Odense C;Syddanmark
487961000016007;OUH Familieteam (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Valdemarsgade 49;5700;Svendborg;Syddanmark
487971000016002;OUH Barselsafsnit (Svendborg);Afsnit;Odense Universitetshospital - Svendborg;;Baagøes Alle 31;5700;Svendborg;Syddanmark
488071000016004;OUH Klinisk Patologi (Odense);Afsnit;Odense Universitetshospital - Svendborg;;J.B. Winsløws Vej 15;5000;Odense C;Syddanmark
488291000016009;Flyttet lok.nr 14/5 Sundhedspleje og Børn og Unge-læge;sundhedsplejen;Øvrig kommunal forvaltning, Aarhus;;Grøndalsvej 2;8260;Viby J;Midtjylland
488581000016009;Sundhedsplejen, Brøndby Kommune;sundhedsplejen;Børne- og Familieafdelingen;;Horsedammen 42;2605;Brøndby;Hovedstaden
488641000016004;Sundhedsplejen;sundhedsplejen;Børn og kultur;;Jernbanevej 7;7900;Nykøbing M;Nordjylland
488651000016001;PSY Mobilteam (Odense);Afsnit;Psykiatrien Region Syddanmark;;Toldbodhusevej 4;5000;Odense C;Syddanmark
488681000016005;Obstetrisk Amb., HOL;Afsnit;Region Sjællands Sygehusvæsen;;Sofievej 13;4300;Holbæk;Sjælland
488691000016007;Pæd. Amb. Diagn. Enhed, SLA;Afsnit;Region Sjællands Sygehusvæsen;;Fælledvej 2C;4200;Slagelse;Sjælland
488701000016007;Reuma. Idrætsklinik, SLA;Afsnit;Region Sjællands Sygehusvæsen;;Fælledvej 7;4200;Slagelse;Sjælland
489201000016005;Sct. Hans, Retspsykiatrisk afd. R's OP-team;Afdeling;Region Hovedstadens Psykiatri;1500K1Q;Carl Nielsens Allé 9;2100;København Ø;Hovedstaden
489331000016005;HOL Pæd. Amb. Overvægtige;Afdeling;Region Sjællands Sygehusvæsen;3800H8E;Smedelundsgade 60;4300;Holbæk;Sjælland
489371000016007;Børne-Unge Psyk. Klinik 40.K;Afdeling;Region Sjællands Sygehusvæsen;380040K;Smedegade 16;4000;Roskilde;Sjælland
489381000016009;Børne-Unge Psyk. Reg.fkt. 40.R;Afdeling;Region Sjællands Sygehusvæsen;380040R;Smedegade 16;4000;Roskilde;Sjælland
489741000016004;Hjertekirurgisk sengeafsnit 3153RT1;Afsnit;Rigshospitalet;;Inge Lehmanns Vej 5;2100;København Ø;Hovedstaden
489901000016000;Hjr Småskader - Ortopædkir.;Afsnit;Regionshospital Nordjylland;;Bispensgade 37;9800;Hjørring;Nordjylland
489951000016004;Sct. Hans, Ambulatorium R9;Afsnit;Region Hovedstadens Psykiatri;;Tofteparken 13;4000;Roskilde;Sjælland
489961000016001;Sct. Hans, Ambulatorium R10;Afsnit;Region Hovedstadens Psykiatri;;Tofteparken 13;4000;Roskilde;Sjælland
489971000016006;Sct. Hans, Ambulatorium R4;Afsnit;Region Hovedstadens Psykiatri;;Tofteparken 13;4000;Roskilde;Sjælland
489981000016008;Sct. Hans, Ambulatorium R5;Afsnit;Region Hovedstadens Psykiatri;;Søndre Alle 8;4000;Roskilde;Sjælland
